Date,Open,High,Low,Close,Adj Close,Volume
01-11-2021,56.099998,57.189999,55.724998,57.139999,57.139999,2614200
02-11-2021,57.240002,57.73,56.68,57.279999,57.279999,813000
03-11-2021,57.330002,57.715,55.650002,55.75,55.75,676700
04-11-2021,56.09,57.304001,55.709999,57.099998,57.099998,880200
05-11-2021,57.650002,59.52,57.005001,58.419998,58.419998,964800
08-11-2021,58.549999,58.834999,57.880001,58.080002,58.080002,610300
09-11-2021,57.98,58.349998,56.919998,57.84,57.84,681200
10-11-2021,57.830002,58.560001,57.724998,58.5,58.5,1069100
11-11-2021,58.669998,59.07,58.310001,58.93,58.93,1376000
12-11-2021,58.93,59.34,58.259998,58.580002,58.580002,634500
15-11-2021,58.720001,59.630001,58.395,59.630001,59.630001,542800
16-11-2021,59.669998,60.529999,58.75,60.009998,60.009998,1375400
17-11-2021,60.110001,60.439999,59.619999,60.200001,60.200001,1144000
18-11-2021,60.490002,60.599998,59.195,60,60,1220100
19-11-2021,59.689999,59.990002,58.775002,59.68,59.68,1478500
22-11-2021,60.02,60.439999,59.049999,59.599998,59.599998,2237100
23-11-2021,59.630001,60.740002,59.630001,60.549999,60.549999,3158700
24-11-2021,60.580002,61.639999,60.540001,60.82,60.82,1059000
26-11-2021,59.720001,59.810001,58.154999,59.27,59.27,676100
29-11-2021,59.48,60.18,59.330002,60.049999,60.049999,1465700
30-11-2021,60.049999,61.110001,59.130001,60.919998,60.919998,2714300
01-12-2021,61.619999,62.330002,58.540001,58.610001,58.610001,1496500
02-12-2021,58.880001,60.98,58.23,60.939999,60.939999,953400
03-12-2021,60.16,61.439999,60.099998,60.799999,60.799999,1242900
06-12-2021,61.360001,62.139999,60.150002,62.049999,62.049999,1139800
07-12-2021,62.419998,62.419998,60.41,61.73,61.73,2415700
08-12-2021,61.869999,62.189999,60.860001,61.290001,61.290001,754400
09-12-2021,61.009998,61.759998,59.900002,60,60,1227200
10-12-2021,60.07,61.07,59.145,60.52,60.52,1768800
13-12-2021,60.439999,61.099998,59.82,60.23,60.23,1196000
14-12-2021,59.91,60.389999,59.299999,60.029999,60.029999,1229500
15-12-2021,59.91,60.939999,59.52,60.939999,60.939999,663700
16-12-2021,61.119999,61.119999,58.369999,58.720001,58.720001,1116200
17-12-2021,58.720001,59.764999,57.990002,59.419998,59.419998,1681000
20-12-2021,58.919998,59.369999,58.27,59.209999,59.209999,733700
21-12-2021,59.389999,61.360001,59.209999,60.630001,60.630001,737300
22-12-2021,60.630001,61.669998,60.259998,61.5,61.5,810600
23-12-2021,61.77,62.130001,61.330002,61.389999,61.389999,406900
27-12-2021,61.299999,62.57,60.994999,62.310001,62.310001,561500
28-12-2021,62.040001,62.799999,61.23,61.669998,61.669998,1525900
29-12-2021,61.639999,62.439999,61.244999,62.240002,62.240002,356500
30-12-2021,62.259998,63.459999,61.509998,63,63,518200
31-12-2021,62.82,63.360001,62.650002,63.240002,63.240002,753800
